cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
18078053,2020,1625536,1021292,35194,256077,408292,0,2238536,0,2231115,2388062,1364249,1023813,0,1001329,0,13
18079750,2020,29352,1402476,1083592,295267,2010843,0,-579015,0,1476730,1420852,1520102,0,99250,0,114019,14
18079830,2020,310108,1328137,52993,1199731,929380,0,708865,0,1845428,1845428,1290726,554702,0,536249,0,7
18090537,2020,48224,15358,4958,5637,72980,0,-9398,0,54516,54792,62798,0,8006,0,9522,0
18094245,2020,101431,287171,745,202084,297097,0,89921,0,582948,593021,510707,82314,0,76395,0,7
18112856,2020,291068,114986,8863,25544,118413,0,289633,0,381978,390173,445640,0,55467,0,59133,2
18126096,2020,250992,507789,170472,190497,673327,0,85454,0,1142350,1142350,1113444,28906,0,18270,0,6
18127601,2020,1204881,1468017,637806,776873,1804991,0,602463,0,5542250,5691135,5453036,238099,0,204486,0,18
18127628,2020,7556,37453,1988,28344,2767,0,42242,0,110494,110494,105933,4561,0,3036,0,1
18142709,2020,182,183502,0,96069,133454,0,50230,0,363785,368700,364866,3834,0,1237,0,1
18151383,2020,444005,2489657,331169,1037911,446868,0,2507826,0,5219574,5273101,5586389,0,313288,0,338794,27
18156682,2020,16751626,5499000,105248,3781125,3266232,0,19021156,0,12003274,16053117,15834442,218675,0,218675,0,47
18173845,2020,154807,52487,4619,45643,277182,0,-69888,0,164788,168488,189430,0,20942,0,21752,3
18177898,2020,1036780,512754,26129,265134,3405178,0,-1855644,0,2531495,2562107,2874089,0,311982,0,335377,14
18178923,2020,292968,907634,38308,714701,1122613,0,14716,0,1961206,2707745,2857561,0,149816,0,174757,8
18195827,2020,2529,220420,214409,1147,83425,0,139524,0,290478,294193,307201,0,13008,0,15672,4
18212294,2020,138323,805602,45268,61985,177654,0,766271,0,1611930,1612413,1347521,264892,0,248768,0,5
18217500,2020,5620,126364,5368,24464,6075,0,125909,0,287322,287322,260137,27185,0,24311,0,1
18218432,2020,0,6623,125,29,0,0,6623,0,11713,11713,14910,0,3197,0,3733,0
18236870,2020,67554,1825491,714511,832988,1245162,0,647883,0,7765526,7774582,7692010,82572,0,68753,0,4
18251200,2020,82268,287628,1234,218198,929034,0,-559138,0,1283976,1290923,1677790,0,386867,0,399667,15
18268970,2020,63205061,12295223,2948049,9283972,16948320,3213200,52305192,0,46641509,47420005,44629114,2790891,0,2431287,0,58
18276441,2020,248073,180482,159167,6424,716321,0,-287766,0,68351,150533,227616,0,77083,0,77711,4
18290152,2020,1478595,744451,176503,423246,1495226,0,727820,0,2914530,3018223,2617352,400871,0,375102,0,6
